,neg_data_ko
0,"안녕하세요, 어떻게 지내세요?"
1,잘 지내요.당신은 어때?
2,나는 꽤 좋다.질문 주셔서 감사합니다.
3,괜찮아요.어떻게 지냈어?
4,나는 훌륭했다.당신은 어때요?
5,나는 좋았다.나는 지금 학교에 있습니다.
6,무슨 학교 당신이 가야합니까?
7,나는 PCC에 간다.
8,당신은 거기에서 그것을 좋아합니까?
9,괜찮아요.정말 큰 캠퍼스입니다.
10,학교와 함께 행운을 빕니다.
11,어떻게되고 있습니까?
12,나는 잘하고 있어요.당신은 어떤가요?
13,"더 나은지, 감사합니다."
14,그래서 최근에는 어떻게 되었습니까?
15,나는 실제로 꽤 좋았다.너?
16,나는 실제로 지금 학교에 있습니다.
17,어느 학교에 다니나요?
18,지금 PCC에 참석하고 있습니다.
19,거기에서 그것을 즐기고 있습니까?
20,나쁘지 않습니다.거기에 많은 사람들이 있습니다.
21,좋은 결과 내길 바랄 게.
22,오늘 하루 어땠어요?
23,나는 잘하고있다.당신은 어때요?
24,나는 절대적으로 사랑 스럽습니다. 감사합니다.
25,모든 것이 당신과 잘 지냈습니까?
26,나는 더 나아지지 않았다.당신은 어때?
27,나는 최근에 학교를 시작했다.
28,학교에 어디로 가시나요?
29,나는 PCC에 간다.
30,지금까지 어떻게 마음에 드십니까?
31,나는 지금까지 그것을 좋아한다.내 수업은 지금 꽤 좋다.
32,오늘은 추악한 날입니다.
33,알아요.비가 올 수 있다고 생각합니다.
34,여름의 한가운데 오늘 비가 내리지 않아야합니다.
35,이상 할 것입니다.
36,"예, 특히 외부에 90도이기 때문에."
37,나는 비가 내리고 외부에서 뜨거워지면 끔찍할 것입니다.
38,"예, 그럴 것입니다."
39,나는 그것이 매일 너무 뜨거워지지 않았 으면 좋겠다.
40,저도요.나는 겨울까지 기다릴 수 없다.
41,나도 겨울을 좋아하지만 때로는 너무 추워집니다.
42,차라리 뜨겁다.
43,오늘 밖에서는 그리 멋지지 않습니다.
44,네가 옳아.나중에 비가 올 것이라고 생각합니다.
45,여름 중반에는 비가 오지 않아야합니다.
46,그것은 옳지 않은 것 같습니다.
47,외부에서 90도 이상이라는 점을 고려하면 이상합니다.
48,정확히 비가 내리기 시작하면 좋지 않을 것입니다.너무 뜨겁다.
49,"알아요, 당신이 절대적으로 옳습니다."
50,언젠가 식기를 바랍니다.
51,그것이 내가 느끼는 방식입니다. 겨울이 곧 오기를 원합니다.
52,나는 겨울을 즐긴다. 그러나 때로는 정말 추워집니다.
53,"나는 당신이 무슨 뜻인지 알고 있지만, 나는 뜨겁다."
54,오늘은 좋은 날 이었으면 좋겠어요.
55,그것은 사실입니다.비가 오지 않기를 바랍니다.
56,여름 중반에 비가 내리지 않을 것입니다.
57,지금 비가 내리기 시작하면 옳지 않은 것 같습니다.
58,90도 날씨에 비가 내리기 시작하면 이상합니다.
59,지금은 무의미 할 것입니다.
60,"맞아요, 정말 그렇습니다."
61,나는 그것이 일부를 식히기를 원합니다.
62,"무슨 뜻인지 알아요, 겨울이 될 때까지 기다릴 수 없습니다."
63,겨울은 훌륭합니다.그래도 때때로 차가워지지 않기를 바랍니다.
64,정말 좋은 날이야.
65,"예, 그것은입니다."
66,곧 비가 내릴 것 같습니다.
67,그렇습니다. 그리고 나는 그것이 그렇게되기를 바랍니다.
68,왜 그런 겁니까?
69,나는 비가 공기를 깨끗하게하는 방법을 정말 좋아합니다.
70,저도요.비가 오면 항상 신선한 냄새가납니다.
71,"예,하지만 비가 내린 후 밤 공기를 좋아합니다."
72,정말?왜 그런가요?
73,별을 완벽하게 볼 수 있기 때문입니다.
74,오늘은 비가 오기를 바랍니다.
75,좋은 날이 아닌가요?
76,정말 그렇습니다.
77,오늘은 비가 올 수 있습니다.
78,바라건대 그것은 할 것입니다.
79,어떻게 되나요?
