input,label,label2
베스트 셀러 추천좀 해줘,bestseller,bestseller
베스트 셀러 좀 추천 해줘,bestseller,bestseller
최근 가장 인기 많은 책들 추천 해줘,bestseller,bestseller
요즘 인기 있는 책좀 추천 해줘,bestseller,bestseller
많이 본 책 추천해줘,bestseller,bestseller
사람들이 많이 본 책 추천 해줘,bestseller,bestseller
최근에 많이 본 도서 추천 해줘,bestseller,bestseller
베스트 셀러 부탁 드려요,bestseller,bestseller
최근 베스트 셀러 좀 추천해주세요,bestseller,bestseller
요즘 인기 많은 책 좀 부탁드려요,bestseller,bestseller
베스트 셀러 추천 좀,bestseller,bestseller
요즘 많이 보는 책 추천좀,bestseller,bestseller
최근 많이 팔리는 책 추천좀,bestseller,bestseller
요즘 잘 팔리는 책 추천좀,bestseller,bestseller
{장르명} 책들 중에 인기 많은 책 추천좀  ,bestseller,bestseller_genre
{장르명} 책 중에 인기 많은 거 없을까?,bestseller,bestseller_genre
베스트 셀러 중에 {장르명} 책들 추천좀,bestseller,bestseller_genre
인기 많은 책들 중에 {장르명} 도서 추천좀,bestseller,bestseller_genre
사람들이 많이 본 {장르명} 도서 추천좀,bestseller,bestseller_genre
{장르명} 중에 인기 많은 책들 좀 알려줘,bestseller,bestseller_genre
{장르명} 중 사람들이 많이 본 책들 좀 알려줘,bestseller,bestseller_genre
{장르명} 베스트 셀러 추천좀,bestseller,bestseller_genre
{장르명} 베스트 셀러들좀 추천해줘,bestseller,bestseller_genre
인기 있는 {장르명} 도서 추천좀,bestseller,bestseller_genre
요즘 잘팔리는 {장르명}  책들 추천해줘,bestseller,bestseller_genre
요즘 인기 많은 {장르명} 책들좀 알려줘,bestseller,bestseller_genre
최근 많이 보는 {장르명} 책들 알려줘,bestseller,bestseller_genre
요즘 사람들이 많이 보는 {장르명} 책들 좀 추천해줘,bestseller,bestseller_genre
{장르명} 장르 중에 요즘 인기 많은 책들 좀 추천해줘,bestseller,bestseller_genre
{장르명} 장르 중에 베스트 셀러 추천좀 ,bestseller,bestseller_genre
{장르명} 장르 중에서 사람들이 많이 본 책좀 추천해봐,bestseller,bestseller_genre
{장르명} 중에서 요즘 많이 팔리는 도서들 추천좀,bestseller,bestseller_genre
요즘 {장르명} 장르 책들 중에 인기 많은 게뭐야?,bestseller,bestseller_genre
최근 {장르명} 장르 책들중에 베스트 셀러좀 알려줘 ,bestseller,bestseller_genre
{작가명} 님 책 중에 가장 인기 많은 책들 추천 좀,bestseller,bestseller_writer
{작가명} 도서 중에 인기 많은 책 좀,bestseller,bestseller_writer
{작가명} 책 중에 베스트 셀러 추천좀,bestseller,bestseller_writer
{작가명} 님 책들 중 베스트 셀러 추천좀,bestseller,bestseller_writer
베스트 셀러 중에 {작가명} 작가님 책 추천좀,bestseller,bestseller_writer
베스트 셀러 중 {작가명} 님 책들 추천 해줘,bestseller,bestseller_writer
베스트 셀러들 중에 {작가명} 작가님 도서 추천 좀 해줘,bestseller,bestseller_writer
인기 많은 책들 중에 {작가명} 책들 추천좀,bestseller,bestseller_writer
인기 있는 도서들 중에 {작가명} 작품 추천좀,bestseller,bestseller_writer
최근 사람들이 많이 본 책중에 {작가명} 작품들 추천좀,bestseller,bestseller_writer
{작가명} 이 쓰신 베스트셀러 추천 해줘,bestseller,bestseller_writer
{작가명} 이 집필하신 책들중에 베스트셀러 추천좀,bestseller,bestseller_writer
