intent,label
{작가명} 작가님 책 뭐뭐 있어?,"조회(검색, 예약, 반납)"
{도서명} 어떤게 있어?,"조회(검색, 예약, 반납)"
{도서명} 책이 대출 가능한 상태인가요?,"조회(검색, 예약, 반납)"
{도서명}  중 대출 가능한 책을 찾을 수 있나요?,"조회(검색, 예약, 반납)"
도서관에 {도서명}  중 대출 가능한 책을 검색해주세요,"조회(검색, 예약, 반납)"
{도서명}  중 대출 가능한 책을 찾아주세요,"조회(검색, 예약, 반납)"
도서관에서 {도서명}  중 대출 가능한 책{도서명}  있는지 알려주세요,"조회(검색, 예약, 반납)"
도서관에 {도서명} 의 책  있는지 알려주세요,"조회(검색, 예약, 반납)"
"{작가명}  , {도서명}   찾고 있어요","조회(검색, 예약, 반납)"
{작가명}   책 찾아주세요,"조회(검색, 예약, 반납)"
{도서명}   찾고있는데 여기 도서관에 있어요?,"조회(검색, 예약, 반납)"
자료 검색해주세요,"조회(검색, 예약, 반납)"
자료 검색할래,"조회(검색, 예약, 반납)"
도서관에 {도서명}  중 대출 가능한 책 {도서명}  어떤 것 있는지 알려주세요,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명} 검색해주세요,"조회(검색, 예약, 반납)"
도서 검색하려구요,"조회(검색, 예약, 반납)"
도서 검색할게요,"조회(검색, 예약, 반납)"
책 좀 찾아주세요,"조회(검색, 예약, 반납)"
책 찾고 있는데요.,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명}   책 대출 가능한지 확인해 주세요.,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명}   책을 찾기 어려울까요?,"조회(검색, 예약, 반납)"
도서관에서 {작가명} 의 {도서명}   책을 찾을 수 있는 방법 있을까요?,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명}   책을 도서관에서 빌리려면 어떻게 해야 하나요?,"조회(검색, 예약, 반납)"
도서관에서 {작가명}  의 {도서명}   책을 찾고 있습니다.,"조회(검색, 예약, 반납)"
{도서명}  있어요?,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명}  책을 빌려보려면 어디로 가야 하나요?,"조회(검색, 예약, 반납)"
{도서명}  중 대출 가능한 책 좀 알려주세요,"조회(검색, 예약, 반납)"
도서 검색해주세요,"조회(검색, 예약, 반납)"
{도서명}  중 대출 가능한 책을 찾는데 도움을 주실 수 있나요?,"조회(검색, 예약, 반납)"
도서관에 {도서명}  의 모든 책 있는지 확인할 수 있을까요?,"조회(검색, 예약, 반납)"
{도서명} 지금 대출 예약 되나요?,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명}  책 대출 가능 기간은 어떻게 되나요?,"조회(검색, 예약, 반납)"
{도서명} 제목의 책 찾고 싶은데요,"조회(검색, 예약, 반납)"
{도서명} 제목의 책 찾고 싶습니다,"조회(검색, 예약, 반납)"
{도서명}의 책 대여하려구요,"조회(검색, 예약, 반납)"
{도서명}의 책을 대출하고 싶은데요,"조회(검색, 예약, 반납)"
책 대출하고 싶은데요.,"조회(검색, 예약, 반납)"
{도서명} 책을 예약할 수 있는 방법이 있나요?,"조회(검색, 예약, 반납)"
"{도서명} 책이 대출 중이라면, 대출 가능한 시점이 예상되나요?","조회(검색, 예약, 반납)"
책 대여하고 싶은데요.,"조회(검색, 예약, 반납)"
{도서명} 책의 대출 기간을 연장할 수 있는 방법이 있나요?,"조회(검색, 예약, 반납)"
{도서명} 책의 대출 상태를 알고 싶어요,"조회(검색, 예약, 반납)"
{도서명} 책을 대출할 수 있는 기간과 대출 가능 권수는 어떻게 되나요?,"조회(검색, 예약, 반납)"
{작가명} 작가의 책을 빌릴 수 있나요?,"조회(검색, 예약, 반납)"
{작가명} 작가의 책을 대출할 수 있나요?,"조회(검색, 예약, 반납)"
{도서명}  을 빌릴 수 있나요?,"조회(검색, 예약, 반납)"
{도서명}  을 대출할 수 있나요?,"조회(검색, 예약, 반납)"
{도서명}  찾아주세요,"조회(검색, 예약, 반납)"
"{도서명} 이 대출 중인 상태인데, 언제 반납될까요?","조회(검색, 예약, 반납)"
{작가명} 작가님 {도서명} 대출 되는거 뭐 있어?,"조회(검색, 예약, 반납)"
{작가명}  의 {도서명}  책은 도서관에서 대출 가능한가요?,"조회(검색, 예약, 반납)"
{작가명} 작가님 책들 좀 조회해줘,"조회(검색, 예약, 반납)"
