input,output,label,label2
운영 시간이 어떻게 되나요?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
몇시부터 몇시까지 열어?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
아침에 몇시에 열어?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
저녁에 몇시까지 해?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
운영 시간이 언제야?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
몇시부터 몇시까지 운영해?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
공휴일에 열어?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
스마트 도서관 운영시간이 어떻게 돼?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
몇시에 열어?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
몇시까지 해?,광진정보 스마트 도서관의 운영 시간은 365일 24시간 (연중무휴) 입니다.,문의,문의_운영시간
나 책 연체됐는데 어떻게 돼?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
빌린 책 연체 되면 어떻게 되나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
책 연체 되면 어떡하나요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
책 늦게 반납하면 정지인가요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
책 반납 늦게하면 어떻게 돼요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체 되면 어떻게 돼요?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
책 연체 되면 정지야?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체 하면 정지먹어?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
빌린 책 연체하면 정지야?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
연체 되면 정지지?,연체반납 시에는 [대출권수x연체일수] 만큼 광진정보 스마트 도서관 방문대출도 정지됩니다.,문의,문의_연체
